День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,№ Объявления,Тип объявления,Заголовок,Текст,Статус объявления,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Подобранная фраза,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Производитель устройства,Версия ОС устройства,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703.10,956,82,10,12.20,170.31,8.58,20.77,519.09,15.80,54.30,3.56,2.44,23.08,1.37
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,,Не определено,-,-,1918637737025426521,Комбинаторное,Купание на яхте в открытом море — Сириус,"Весь катер для вас, не групповая прогулка. Выход из Имеретинского порта. От 2 часов",Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5234275/xQeLEJRl4kvR8CfDC3y_TQ,фотосессия.jpg,1154121654,https://avatars.mds.yandex.net/get-media-adv-screenshooter/19886752/74796b86-6f48-4a7f-8936-a10904b18cae/orig,Текстово-графический,Оригинальный,Сети,Прочее,Не определено,Планшеты,iOS,Wi-Fi,,Не определен,Старше 55,6–10%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,,Не определено,-,-,1918637737025426521,Комбинаторное,"Морская прогулка на яхте — Сириус, Парусная 1",Не групповая экскурсия. До 7 гостей на катере «Сириус». Уточните свободное окно.,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5234275/xQeLEJRl4kvR8CfDC3y_TQ,фотосессия.jpg,1154121654,https://avatars.mds.yandex.net/get-media-adv-screenshooter/19886752/74796b86-6f48-4a7f-8936-a10904b18cae/orig,Текстово-графический,Оригинальный,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,45-54 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,,Не определено,-,-,1918637737025426521,Комбинаторное,Утром 15 000 ₽ за 2 часа — вся яхта ваша,"Весь катер для вас, не групповая прогулка. Выход из Имеретинского порта. От 2 часов",Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5234275/xQeLEJRl4kvR8CfDC3y_TQ,фотосессия.jpg,1154121654,https://avatars.mds.yandex.net/get-media-adv-screenshooter/19886752/74796b86-6f48-4a7f-8936-a10904b18cae/orig,Текстово-графический,Оригинальный,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,Старше 55,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,,Не определено,-,-,1918637737025426521,Комбинаторное,Утром 15 000 ₽ за 2 часа — вся яхта ваша,Не групповая экскурсия. До 7 гостей на катере «Сириус». Уточните свободное окно.,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5234275/xQeLEJRl4kvR8CfDC3y_TQ,фотосессия.jpg,1154121654,https://avatars.mds.yandex.net/get-media-adv-screenshooter/19886752/74796b86-6f48-4a7f-8936-a10904b18cae/orig,Текстово-графический,Оригинальный,Сети,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,,Мужской,Не определен,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,,Не определено,-,-,1918637737025426522,Комбинаторное,"Морская прогулка на яхте — Сириус, Парусная 1",От 8 000 ₽/час или от 15 000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5378455/WJ32IqxEodQdU5b-hmm26A,main site web.jpg,1154121658,https://avatars.mds.yandex.net/get-media-adv-screenshooter/17700546/e22dbbda-7a85-4ddb-b5a6-0548f0c5da27/orig,Текстово-графический,Оригинальный,Сети,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,,Мужской,35-44 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,,Не определено,-,-,1918637737025426522,Комбинаторное,Утром 15 000 ₽ за 2 часа — вся яхта ваша,Не групповая экскурсия. До 7 гостей на катере «Сириус». Уточните свободное окно.,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5378455/WJ32IqxEodQdU5b-hmm26A,main site web.jpg,1154121658,https://avatars.mds.yandex.net/get-media-adv-screenshooter/17700546/e22dbbda-7a85-4ddb-b5a6-0548f0c5da27/orig,Текстово-графический,Оригинальный,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,Старше 55,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда катера в мандарине адлер,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,iOS,Wi-Fi,,Женский,25-34 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.33,0.00,32.76,5.00,-,-,-
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда яхты пермь,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Утром 15 000 ₽ за 2 часа — вся яхта ваша,От 8 000 ₽/час или от 15 000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,,Женский,18-24 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
16.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,катер сочи,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,iOS,Wi-Fi,,Мужской,25-34 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.29,0.00,28.86,4.00,-,-,-
