День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Заголовок,Статус объявления,Тип объявления,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,858,42,0,0.00,,4.90,0.00,673.71,6.23,78.52,3.67,3.28,32.61,1.24
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,морская рыбалка сочи,-,0,-,0,морская рыбалка хоста,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,3,0,0,-,-,0.00,-,1.67,0.00,55.80,5.33,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,моряк попай катамаран,-,0,-,0,,Не определено,-,Пословное,,1918830392081206022,Групповая рыбалка - снасти включены - Сириус,Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5241276/zbvUo_rc7rXkdt_0VT6e1w,ставрида 2.jpg,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,25-34 года,Топ 1%,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка в море адлер -цена,-,0,-,0,,Не определено,-,Пословное,,1918830392081206022,Групповая рыбалка - снасти включены - Сириус,Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5235951/RTM9BgJLvGk-x5J_zvHIzw,skat_popaj_edit_2026-08-17.png,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,iOS,Мобильная связь,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка в сириусе сочи,-,0,-,0,где порыбачить в сириусе,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1918830392081206022,Заголовок из контента поискового сниппета или настроек объявления,Архивные,Комбинаторное,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Мобильная связь,Мужской,18-24 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.23,0.00,22.81,5.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка на имеретинском порту,-,0,-,0,имеретинка рыбалка,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1918830392081206022,"Рыбалка в Сириусе с катамарана - Имеретинка, линия 2",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.88,0.00,88.17,4.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка на имеретинском порту,-,0,-,0,имеретинка рыбалка,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1918830392081206022,"Рыбалка в Сириусе с катамарана - Имеретинка, линия 2",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.77,0.00,76.79,5.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка с катамарана адлер,-,0,-,0,рыбалка катамаран адлер клуб охотников и рыболовов,Не определено,-,Семантическое,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,18-24 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка сочи -морск -море -морской -катамаран -групповой -сириус,-,0,-,0,,Не определено,-,Пословное,,1918830392081206022,Групповая рыбалка - снасти включены - Сириус,Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5241276/zbvUo_rc7rXkdt_0VT6e1w,ставрида 2.jpg,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка сочи -морск -море -морской -катамаран -групповой -сириус,-,0,-,0,,Не определено,-,Пословное,,1918830392081206022,Групповая рыбалка - снасти включены - Сириус,Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5241276/zbvUo_rc7rXkdt_0VT6e1w,ставрида 2.jpg,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,Старше 55,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
