День,Название группы,№ Группы,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Название площадки,Название площадок yandex,Площадка выключена в РК,Можно запретить площадку,Внешняя сеть,Тематика телеграм-канала,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Тип условия показа,Название кампании,№ Кампании,Производитель устройства,Версия ОС устройства,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,137.50,100,12,1,8.33,137.50,12.00,11.46,83.43,14.38,83.43,3.36,2.17,18.18,1.18
16.08.2026,Яхта Tigger,5780489255,,Не определено,-,-,,1917632891845957028,Остановленные,Комбинаторное,Аренда яхты премиум-класса "Tigger" в Сочи. От 2-х часов,"Двухпалубная яхта «Tigger» с флайбриджем. Стоимость 50 000 ₽/час, 470 000 ₽/день",https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/4733431/pCvOHa-LlBy8IgMnB5xMmg,Tigger yellow 3 (1).jpg,1163832708,https://avatars.mds.yandex.net/get-media-adv-screenshooter/21068905/af8a95ba-73d7-4f0e-bc95-373ad59ad67e/orig,Текстово-графический,Оригинальный,Сети,Карты,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Женский,25-34 года,Топ 1%,Не определено,Автотаргетинг,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
16.08.2026,Яхта Tigger,5780489255,,Целевые запросы,Запросы без упоминания брендов,-,,1917713181968153696,Остановленные,Комбинаторное,"Фуршеты, корпоративы и VIP-отдых на яхте ""Tigger""",Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Мужской,45-54 года,Остальные,Не определено,Автотаргетинг,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.77,0.00,76.79,5.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917632891845957028,Остановленные,Комбинаторное,"""Tigger"" - яхта премиум-класса в Сочи. 2 палубы, 3 каюты",Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Мужской,Старше 55,Остальные,Не определено,Фраза,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.77,0.00,76.79,5.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,yachtjoy сочи,Целевые запросы,Запросы без упоминания брендов,-,,1917632891845957028,Остановленные,Комбинаторное,"""Tigger"" - яхта премиум-класса в Сочи. 2 палубы, 3 каюты",Фуршеты и переговоры на яхте. Яхта Tigger. Безналичная оплата для ЮЛ. Бронируйте.,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Женский,45-54 года,2–5%,Не определено,Автотаргетинг,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,1.24,0.00,123.54,5.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,yachtjoy сочи,Целевые запросы,Запросы без упоминания брендов,-,,1917632891845957028,Остановленные,Комбинаторное,"""Tigger"" - яхта премиум-класса в Сочи. 2 палубы, 3 каюты",Фуршеты и переговоры на яхте. Яхта Tigger. Безналичная оплата для ЮЛ. Бронируйте.,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Эксклюзивное размещение,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Женский,45-54 года,Остальные,Не определено,Автотаргетинг,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.97,0.00,97.24,1.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,yachtjoy сочи сайт,Целевые запросы,Запросы без упоминания брендов,-,,1917632891845957028,Остановленные,Комбинаторное,"""Tigger"" - яхта премиум-класса в Сочи. 2 палубы, 3 каюты",Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Женский,45-54 года,2–5%,Не определено,Автотаргетинг,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.99,0.00,98.61,1.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,азимут яхта цены,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917713181968153696,Активные,Комбинаторное,Azimut 68 Tigger - private charter в Сириусе от 2х часов,Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,m.images.yandex.ru,https://m.images.yandex.ru,Нет,Да,Яндекс и РСЯ,Не определено,Женский,35-44 года,6–10%,Не определено,Фраза,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
16.08.2026,Яхта Tigger,5780489255,аренда яхты в сочи на сутки с капитаном цена,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917713181968153696,Активные,Комбинаторное,Аренда яхты премиум-класса "Tigger" в Сочи. От 2-х часов,Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Женский,Старше 55,2–5%,Не определено,Фраза,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.74,0.00,74.15,2.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,аренда яхты на корпоратив,Целевые запросы,Запросы без упоминания брендов,-,,1917632891845957028,Остановленные,Комбинаторное,"Фуршеты, корпоративы и VIP-отдых на яхте ""Tigger""",Фуршеты и переговоры на яхте. Яхта Tigger. Безналичная оплата для ЮЛ. Бронируйте.,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Мужской,35-44 года,Остальные,Не определено,Автотаргетинг,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.42,0.00,41.63,6.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,аренда яхты на неделю сириус,Узкие запросы,Запросы без упоминания брендов,-,,1917632891845957028,Остановленные,Комбинаторное,Аренда яхты премиум-класса "Tigger" в Сочи. От 2-х часов,Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Мужской,35-44 года,6–10%,Не определено,Автотаргетинг,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,1,0,0.00,-,100.00,0.00,0.86,116.05,86.17,2.00,2.00,0.00,2.00
16.08.2026,Яхта Tigger,5780489255,аренда яхты с гидроциклом сочи,Широкие запросы,Запросы без упоминания брендов,Пословное,,1917713181968153696,Активные,Комбинаторное,Аренда яхты премиум-класса "Tigger" в Сочи. От 2-х часов,Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/4467613/RPJt_TGiUHAOsbNmK7d2xg,РСЯ Tigger 4 (1).jpg,-,-,Текстово-графический,Оригинальный,Поиск,Товарная галерея,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Женский,25-34 года,6–10%,Не определено,Фраза,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,2.57,0.00,257.11,1.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,аренда яхты с гидроциклом сочи,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917713181968153696,Активные,Комбинаторное,Аренда яхты премиум-класса "Tigger" в Сочи. От 2-х часов,Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Эксклюзивное размещение,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Женский,25-34 года,6–10%,Не определено,Фраза,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,1,0,0.00,-,100.00,0.00,0.85,117.08,85.42,1.00,1.00,0.00,1.00
16.08.2026,Яхта Tigger,5780489255,аренда яхты сочи посуточно,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917632891845957028,Остановленные,Комбинаторное,Аренда яхты премиум-класса "Tigger" в Сочи. От 2-х часов,Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Мужской,25-34 года,2–5%,Не определено,Фраза,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.78,0.00,77.89,6.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,аренда яхты сочи посуточно,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917713181968153696,Активные,Комбинаторное,Аренда яхты премиум-класса "Tigger" в Сочи. От 2-х часов,Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Мужской,25-34 года,2–5%,Не определено,Фраза,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
16.08.2026,Яхта Tigger,5780489255,аренда яхты сочи цена с капитаном,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917632891845957028,Остановленные,Комбинаторное,Аренда яхты премиум-класса "Tigger" в Сочи. От 2-х часов,Яхта «Tigger» для отдыха на море. Двухпалубная. Роскошный интерьер. Бронируйте!,https://boat-sochi.ru/yacht_tigger?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_boatsochi_tigger&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,yandex,,Нет,Нет,Яндекс и РСЯ,Не определено,Мужской,25-34 года,2–5%,Не определено,Фраза,Поиск+Карты - Яхта Tigger,713309971,-,-,0.00,1,0,0,-,-,0.00,-,0.70,0.00,69.62,2.00,-,-,-
