День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,341,32,0,0.00,,9.38,0.00,221.17,14.47,64.86,4.04,2.68
16.08.2026,Закат на море,5779888441,Фраза,имеретинский порт адлер морские прогулки,-,0,-,0,имеретинский морпорт яхты прогулка на дельфинов,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1917567555731541131,Архивные,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.78,0.00,77.85,1.00,-
16.08.2026,Закат на море,5779888441,Фраза,имеретинский порт адлер морские прогулки,-,0,-,0,имеретинский морпорт яхты прогулка на дельфинов,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1917567555731541131,Архивные,Комбинаторное,Прогулка на закат в море - Сириус,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,1,0,0.00,-,100.00,0.00,0.74,134.93,74.11,1.00,1.00
16.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,аренда яхты в адлере,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917567555731541131,Архивные,Комбинаторное,"Закат в море. Бронируете заранее, яхт вечером немного","Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
16.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,морская прогулка адлер на яхте,Широкие запросы,Запросы без упоминания брендов,Пословное,,1917466423210544416,Архивные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,1,0,0.00,-,100.00,0.00,1.04,96.48,103.65,2.00,2.00
16.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,морская прогулка на яхте адлер,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Архивные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.33,0.00,32.78,4.00,-
16.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,покататься на яхте адлер имеретинка,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Архивные,Комбинаторное,Яхта на закат в море. Сириус. Выход с 18 часов,Закат на катере с Имеретинского порта. С 18 до 20 часов. Катеров немного,https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.76,0.00,76.32,6.00,-
16.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на яхте адлер,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Архивные,Комбинаторное,Закажите яхту на закат в море - Сириус,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,18-24 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.21,0.00,20.91,4.00,-
16.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на яхте адлер,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Архивные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.83,0.00,83.34,6.00,-
16.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на яхте адлер,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Архивные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.83,0.00,83.34,6.00,-
