День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,отдых на яхте адлер с обедом и ужином,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.56,0.00,55.72,4.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,отдых на яхте адлер с обедом и ужином,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.62,0.00,61.74,4.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на парусной яхте адлер,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Яхта на закат в море. Сириус. Выход с 18 часов,"Закат короткий, время популярное - с 18 часов. Бронируйте заранее. Музыка, Wi-Fi",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.10,0.00,109.51,1.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на яхте адлер,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закажите яхту на закат в море - Сириус,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.74,0.00,74.12,2.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на яхте адлер,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,2,0,0,-,-,0.00,-,0.93,0.00,46.35,5.50,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на яхте адлер,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917567555731541131,Активные,Комбинаторное,Прогулка на закат в море - Сириус,Закат на катере с Имеретинского порта. С 18 до 20 часов. Катеров немного,https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,45-54 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.65,0.00,65.19,4.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на яхте в адлере,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.99,0.00,98.74,1.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулки на яхте адлер,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Не определен,Не определен,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.71,0.00,71.19,3.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,экскурсии на яхте в адлер форум,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,Android,Мобильная связь,Мужской,25-34 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,экскурсии на яхте в адлер форум,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Прогулка на закат в море - Сириус,Закат на катере с Имеретинского порта. С 18 до 20 часов. Катеров немного,https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,Android,Мобильная связь,Мужской,25-34 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
