День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Пол,Возраст,№ Объявления,Заголовок,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,строительная база строительных материалов раздольненская сосново,Альтернативные запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,25-34 года,1915802398259215246,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,стройхозтовары в никольском,Альтернативные запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,35-44 года,1915802398259215246,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.42,0.00,41.63,6.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,термопанели под кирпич в анапе купить,Широкие запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Мужской,Старше 55,1915802398259215246,Купить термопанели в Выборге напрямую,0.00,1,0,0,-,-,0.00,-,0.61,0.00,61.31,3.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,термопанели с клинкерной плиткой для фасада купить,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915802398259215246,Клинкерные термопанели - производство Выборг,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,фасадные панели купить в выборге,Широкие запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,Старше 55,1915802398259215246,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,1.21,0.00,120.54,5.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,цокольные панели в сосновом бору ленинградской области,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915802398259215246,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,экотермикс спб,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,35-44 года,1915802398259215246,Производитель термопанелей в Ленобласти,0.00,1,0,0,-,-,0.00,-,0.05,0.00,5.19,8.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Фраза,термопанели выборг -купить -производитель,-,0,-,0,клинкерные термопанели в выборге,Целевые запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,Мужской,Старше 55,1915800871397818629,Термопанели с клинкером - собственный завод в Выборге,0.00,1,1,0,0.00,-,100.00,0.00,0.64,156.70,63.82,4.00,4.00
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Мужской,Старше 55,1915800871397818629,Купить термопанели в Выборге напрямую,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Мужской,Старше 55,1915800871397818629,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,www tn hauberk ru,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,25-34 года,1915800871397818629,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,в тайцах термопанели,Альтернативные запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,Старше 55,1915800871397818629,Производитель термопанелей в Ленобласти,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,имитация бруса для наружной отделки каркасного дома,Альтернативные запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,Старше 55,1915800871397818629,Производитель термопанелей в Ленобласти,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,клинкерные термопанели выборг,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Мужской,Старше 55,1915800871397818629,Клинкерные термопанели - производство Выборг,0.00,1,0,0,-,-,0.00,-,0.83,0.00,83.24,2.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,купить пенопласт пушкин,Альтернативные запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,25-34 года,1915800871397818629,Термопанели с клинкером - собственный завод в Выборге,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Мужской,45-54 года,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,1.14,0.00,114.26,1.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Мужской,Старше 55,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,2,0,0,-,-,0.00,-,1.76,0.00,87.82,1.00,-
27.07.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,35-44 года,1915800871397818629,Бесплатная доставка по Выборгскому району,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
