День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Пол,Возраст,№ Объявления,Заголовок,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,панели под кирпич для террасы,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.13,0.00,13.34,18.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,панели с утеплителем для внешней отделки дома,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.65,0.00,64.58,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,панели стеновые колпино загородный,Целевые запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,45-54 года,1915593209731060056,Термопанели с клинкерной плиткой в Выборге!,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,панель искусственный камень для обшивки фундамента,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,панель искусственный камень для обшивки фундамента,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.28,0.00,28.21,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,панель искусственный камень для обшивки цоколя дома,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.25,0.00,25.29,9.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,панель облицовочная под кирпич,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,18-24 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,пластиковые панели для фасада дома под камень озоне,Целевые запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.65,0.00,64.58,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,пластиковые фасадные панели для наружной отделки под камень,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,пластиковые фасадные панели для наружной отделки под камень,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,1,0,0.00,-,100.00,0.00,0.25,394.98,25.32,8.00,8.00
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,плитка для для наружная купить,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,плитка для фасада,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,25-34 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,плитка для фасада,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,25-34 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.13,0.00,13.42,16.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,плитка для цоколя для дома из бруса,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,1.49,0.00,74.73,5.50,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,плитка под кирпич декоративный анапа,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Не определен,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,плиты для отделки цоколя дома снаружи,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,4,0,0,-,-,0.00,-,0.37,0.00,9.23,20.50,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,полифасадные панели,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,-,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,производство панелей в огоньках выборгский рн,Альтернативные запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.83,0.00,82.87,3.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,производство термосайдинг,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,производство термосайдинг,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.28,0.00,28.21,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,размер фасадных панелей для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,размер фасадных панелей для наружной отделки дома под кирпич,Сопутствующие запросы,Запросы без упоминания брендов,-,,Поиск,Реклама в саджесте,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,ремонт каркасного дома изнутри чем утеплить и обшить стены,Сопутствующие запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Женский,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.68,0.00,67.97,2.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,серая клинкерная плитка,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,45-54 года,1915593209731060056,Термопанели с клинкерной плиткой в Выборге!,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,серая клинкерная плитка,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.32,0.00,32.27,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,спб производство панелей для облицовки дома,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.32,0.00,32.27,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,стеновые панели пенопласт с клинкерной плиткой,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.25,0.00,25.32,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,стеновые фасадные панели купить в спб,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,стоимость отделки цоколь клинкерной плиткой,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,2.57,0.00,257.11,1.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.65,0.00,64.58,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.25,0.00,25.29,9.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.25,0.00,25.29,9.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,1,0,0.00,-,50.00,0.00,3.82,26.21,190.80,1.00,1.00
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели,Широкие запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Женский,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.87,0.00,86.78,2.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели в выборге купить,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели в выборге купить,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,100.00,1,1,1,100.00,100.00,100.00,100.00,2.57,38.89,257.11,1.00,1.00
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели в выборге купить,Широкие запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.73,0.00,73.41,2.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,0.64,0.00,32.02,5.50,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,2.23,0.00,111.54,1.50,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,0.63,0.00,31.39,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки,Широкие запросы,Запросы без упоминания брендов,-,,Поиск,Реклама в саджесте,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,1.05,0.00,52.59,3.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома,Широкие запросы,Запросы без упоминания брендов,-,,Поиск,Реклама в саджесте,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,2.00,0.00,100.00,1.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома цена,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома цена,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома цена,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,25-34 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.68,0.00,67.76,3.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома цена,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.28,0.00,28.21,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома цена в спб,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки дома цена в спб,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.53,0.00,52.59,3.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки цена,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки цена,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,2.57,0.00,257.11,1.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки цоколя дома,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели для наружной отделки цоколя дома,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,1.24,0.00,61.97,4.50,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели из клинкерной плитки купить,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели из клинкерной плитки купить,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Термопанели с клинкерной плиткой в Выборге!,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели из клинкерной плитки отзывы,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Термопанели с клинкерной плиткой в Выборге!,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели из клинкерной плитки отзывы,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,2.57,0.00,257.11,1.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели кирпич,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Не определен,Не определен,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,3,0,0,-,-,0.00,-,0.79,0.00,26.27,7.67,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели клинкерные фасадные,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.65,0.00,64.58,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели клинкерные фасадные,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.99,0.00,98.59,2.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели на красногвардейской,Целевые запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели на красногвардейской,Целевые запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Товарная галерея,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.53,0.00,52.59,3.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели на фасад дома из газобетона,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,18-24 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.65,0.00,64.58,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели на фасад дома из газобетона,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,18-24 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.39,0.00,38.70,4.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели под кирпич,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.45,0.00,44.58,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели под кирпич,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.39,0.00,39.22,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели с клинкерной плиткой,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,45-54 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,2,0,0,-,-,0.00,-,0.51,0.00,25.30,8.50,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели с клинкерной плиткой для дома из газобетона подходят ли,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,18-24 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели с клинкерной плиткой для фасада купить,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.65,0.00,64.58,6.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели с клинкерной плиткой для фасада цена,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.55,0.00,54.58,7.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели с клинкерной плиткой купить в спб,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,25-34 года,1915593209731060056,Термопанели с клинкерной плиткой в Выборге!,0.00,1,0,0,-,-,0.00,-,0.68,0.00,67.76,3.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели фасадные,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Женский,25-34 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.31,0.00,30.99,8.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели фасадные 100мм,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.85,0.00,84.88,5.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели фасадные 100мм,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,35-44 года,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,2.57,0.00,257.11,1.00,-
27.07.2026,Термопанели (транз),5772834263,Автотаргетинг,,-,0,-,0,термопанели фасадные под кирпич для наружной отделки плюсы и минусы отзывы,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Мужской,Старше 55,1915593209731060056,Клинкерные термопанели для наружной отделки дома.,0.00,1,0,0,-,-,0.00,-,0.65,0.00,64.58,6.00,-
