Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,утепление изнутри или снаружи,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,35-44 года,2–5%,Не определено,1916597733861553174,Активные,Комбинаторное,"Приозерск, Сосново, Лосево — термопанели с клинкером",Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.77,0.00,76.79,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,утепление изнутри или снаружи,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,35-44 года,2–5%,Не определено,1916597733861553174,Активные,Комбинаторное,"Приозерск, Сосново, Лосево — термопанели с клинкером",Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Фраза,купить термопанели для фасада,-,0,-,0,купить термопанели для фасада в спб клинкерные имитация,Целевые запросы,Запросы без упоминания брендов,Пословное,,,,,Поиск,Товарная галерея,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,45-54 года,Топ 1%,Не определено,1915802398259215246,Активные,Комбинаторное,Клинкерные термопанели - производство Выборг,Без посредников - завод. 60+ видов декора. Доставка по Ленобласти.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5250956/5XPY7aqvM1xRQF8e4uTrqg,карусель 4-3_06.jpg,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.27,0.00,26.50,6.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Фраза,фасадные панели с утеплением,-,0,-,0,термопанели фаворит фасад калининград,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,35-44 года,2–5%,Не определено,1915802398259215246,Активные,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",Свое производство в Выборге. Приезжайте на образцы. Бесплатная доставка по району.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.57,0.00,56.75,2.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Фраза,фасадные панели с утеплением,-,0,-,0,термопанели феррум,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,,,,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Женский,35-44 года,6–10%,Не определено,1915802398259215246,Активные,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",Свое производство в Выборге. Приезжайте на образцы. Бесплатная доставка по району.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.65,0.00,65.05,2.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,влагостойкие уличные панели под покраску,Узкие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,1915802398259215246,Активные,Комбинаторное,Производитель термопанелей в Ленобласти,Без посредников - завод. 60+ видов декора. Доставка по Ленобласти.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.83,0.00,83.41,6.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,клинкерная плитка,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Женский,45-54 года,Остальные,Не определено,1915802398259215246,Активные,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,Клинкерная плитка+утеплитель в одной панели. Оплата в два этапа. Звоните!,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.45,0.00,44.58,8.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,материал для отделки фасада дома снаружи,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Планшеты,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1915802398259215246,Активные,Комбинаторное,Гарантия до 5 лет на термопанели,Клинкерная плитка+утеплитель в одной панели. Оплата в два этапа. Звоните!,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.45,0.00,44.58,8.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,панели,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,Остальные,Не определено,1915802398259215246,Активные,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",Свое производство в Выборге. Приезжайте на образцы. Бесплатная доставка по району.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.55,0.00,54.58,7.00,-,-,-
Термопанели в Выборге,712773255,26.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,стеновые панели на балкон на кирпичную стену цены,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Планшеты,iOS,Wi-Fi,Мужской,Старше 55,2–5%,Не определено,1915802398259215246,Активные,Комбинаторное,Гарантия до 5 лет на термопанели,Свое производство в Выборге. Приезжайте на образцы. Бесплатная доставка по району.,https://marmara-pro.ru?utm_content=commerce&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.65,0.00,64.58,6.00,-,-,-
