Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,гибкая плитка для стен,Широкие запросы,Запросы без упоминания брендов,-,,Клинкерная плитка фасадная WALL GREY,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,Старше 55,2–5%,Не определено,1918168175770350076,Активные,Страницы каталога,Клинкерная плитка фасадная WALL GREY,Размер: 245×65 мм Толщина: 7 мм Cтоимость 1 м2 - 1300 ₽,https://marmara-pro.ru/termo/tproduct/2229245581-901775970982-klinkernaya-plitka-fasadnaya-wall-grey?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,деке панели фасадные официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Термопанели с клинкерной плиткой — КлинкерПрофи,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанели с клинкерной плиткой. Производство в Выборге,"Фасадные термопанели с клинкером. Производство в Выборге, доставка по СПб...",https://marmara-pro.ru/termo?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.04,0.00,103.80,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,деке панели фасадные официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Термопанели с клинкерной плиткой — КлинкерПрофи,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанели с клинкерной плиткой. Производство в Выборге,"Фасадные термопанели с клинкером. Производство в Выборге, доставка по СПб...",https://marmara-pro.ru/termo?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.37,0.00,137.23,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,декоративные фасадные панели для наружной отделки цоколя,Широкие запросы,Запросы без упоминания брендов,-,,Термопанели с клинкерной плиткой — КлинкерПрофи,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанели с клинкерной плиткой. Производство в Выборге,"Фасадные термопанели с клинкером. Производство в Выборге, доставка по СПб...",https://marmara-pro.ru/termo?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.96,0.00,96.06,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,деревянный декор для фасада здания,Альтернативные запросы,Запросы без упоминания брендов,-,,Клинкерная плитка фасадная STONE (палевый),,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Клинкерная плитка фасадная STONE (палевый),Размер: 245×65 мм Толщина: 7 мм Cтоимость 1 м2 - 1300 ₽,https://marmara-pro.ru/termo/tproduct/2229245581-400587526422-klinkernaya-plitka-fasadnaya-stone-palev?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.60,0.00,59.78,3.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,деревянный декор для фасада здания,Альтернативные запросы,Запросы без упоминания брендов,-,,Термопанель Колорадо 1 (32 шт),,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанель Колорадо 1 (32 шт),Термопанели с клинкерной плиткой. Производство в Выборге. Доставка.,https://marmara-pro.ru/termo/tproduct/2229245581-133022576952-termopanel-kolorado-1-32-sht?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.65,0.00,65.32,3.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,изделия из дерева для фасада дома,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,изделия из дерева для фасада дома,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.21,0.00,120.82,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,искусственный камень,Альтернативные запросы,Запросы без упоминания брендов,-,,Термопанели с клинкерной плиткой — КлинкерПрофи,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанели с клинкерной плиткой. Производство в Выборге,"Фасадные термопанели с клинкером. Производство в Выборге, доставка по СПб...",https://marmara-pro.ru/termo?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.66,0.00,66.11,2.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как закрепить фронтоны в каркасном доме,Сопутствующие запросы,Запросы без упоминания брендов,-,,Термопанель Колорадо 3 (32 шт),,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанель Колорадо 3 (32 шт),Термопанели с клинкерной плиткой. Производство в Выборге. Доставка.,https://marmara-pro.ru/termo/tproduct/2229245581-479543594102-termopanel-kolorado-3-32-sht?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
