Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,клинкерный кирпич колорадо,Альтернативные запросы,Запросы без упоминания брендов,-,,Термопанели с клинкерной плиткой — КлинкерПрофи,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанели с клинкерной плиткой. Производство в Выборге,"Фасадные термопанели с клинкером. Производство в Выборге, доставка по СПб...",https://marmara-pro.ru/termo?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.92,0.00,91.55,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,короед,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с клинкером,Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.01,0.00,101.37,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,кровля фасадная,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Доставка в Приозерск с завода в Выборге,Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.73,0.00,73.11,3.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,облицовочные панели для фасада дома,Широкие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с клинкером,"Утепление и фасад. Завод в Выборге. Доставка в Приозерск, Сосново, Лосево. От 1 550 ₽",https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,1,0,0.00,-,1,0.00,100.00,0.78,128.99,77.53,2.00,2.00,0.00,2.00
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,отделка деревянных домов,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,1916597733861553174,Активные,Комбинаторное,Термопанели для дома в Приозерске,Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.21,0.00,21.28,-,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,отделка стен в комнате в загородном доме,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,1916597733861553174,Архивные,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.77,0.00,76.65,4.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,отделка стен в комнате загородного дома,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,отделка фасада в стиле минимализм с использованием темной клинкерной плитки,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Планшеты,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,1916597733861553174,Активные,Комбинаторное,"Клинкерные термопанели, Приозерский р-н",Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.15,0.00,14.73,2.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,отделка фасада дома клинкерной серо плиткой вентфасад,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Планшеты,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,1916597733861553174,Активные,Комбинаторное,"Клинкерные термопанели, Приозерский р-н",Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.16,0.00,15.94,2.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,отлив цокольный,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с клинкером,Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.87,0.00,87.11,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,панели гибкий мрамор для стен купить,Альтернативные запросы,Запросы без упоминания брендов,-,,Термопанель Колорадо 5 (32 шт),,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,45-54 года,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанель Колорадо 5 (32 шт),Термопанели с клинкерной плиткой. Производство в Выборге. Доставка.,https://marmara-pro.ru/termo/tproduct/2229245581-936117304142-termopanel-kolorado-5-32-sht?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.37,0.00,37.48,4.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,панели под кирпич для наружной отделки фасадные цена за м2,Широкие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с клинкером,"Утепление и фасад. Завод в Выборге. Доставка в Приозерск, Сосново, Лосево. От 1 550 ₽",https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.95,0.00,94.66,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,приозерский район поселок ромашки строительный магазин,Широкие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.91,0.00,91.07,1.00,-,-,-
