Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,35,1,2.86,0.00,905,0.00,3.87,574.87,6.09,63.52,6.13,3.43,14.29,1.91
Термопанели в Выборге,712773255,24.08.2026,Термопанели (Лен. область),5773097196,Автотаргетинг,,-,0,-,0,кирпичики для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1915608023072927866,Активные,Комбинаторное,Термопанели с клинкерной плиткой. Производство в Выборге,"Термопанели с клинкером. Собственное производство, своя цена, нет посредников.",https://marmara-pro.ru?utm_content=geo&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,1,1,100.00,0.00,1,0.00,100.00,0.55,183.23,54.58,7.00,7.00,0.00,5.50
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база строительных материалов раздолье приозерский район ленинградской области каталог,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.68,0.00,67.76,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база строительных материалов раздолье приозерский район ленинградской области каталог,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,ввз утепление,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Утепление фасада термопанелями,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.92,0.00,92.02,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,вентилируемый фасад с фиброцементными панелями для наружной отделки дома,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Планшеты,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с клинкером,Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.16,0.00,15.94,2.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,гибкий камень в тц на ланском,Альтернативные запросы,Запросы без упоминания брендов,-,,Клинкерная плитка фасадная STONE (графитовый),,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,6–10%,Не определено,1918168175770350076,Активные,Страницы каталога,Клинкерная плитка фасадная STONE (графитовый),Размер: 245×65 мм Толщина: 7 мм Cтоимость 1 м2 - 1300 ₽,https://marmara-pro.ru/termo/tproduct/2229245581-730709481672-klinkernaya-plitka-fasadnaya-stone-grafi?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,гидроизоляционные панели для дома,Широкие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,декоративный кирпич балтфасад толос 1001 02 03,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,"Клинкерные термопанели, Приозерский р-н",Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,декоративный кирпич балтфасад толос 1001 02 03,Альтернативные запросы,Запросы без упоминания брендов,-,,Клинкерная плитка фасадная ALARCON,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Клинкерная плитка фасадная ALARCON,Размер: 245×65 мм Толщина: 7 мм Cтоимость 1 м2 - 1300 ₽,https://marmara-pro.ru/termo/tproduct/2229245581-968229798762-klinkernaya-plitka-fasadnaya-alarcon?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.99,0.00,98.63,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,декоративный кирпич балтфасад толос 1001 02 03,Альтернативные запросы,Запросы без упоминания брендов,-,,Клинкерная плитка фасадная ALARCON,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Клинкерная плитка фасадная ALARCON,Размер: 245×65 мм Толщина: 7 мм Cтоимость 1 м2 - 1300 ₽,https://marmara-pro.ru/termo/tproduct/2229245581-968229798762-klinkernaya-plitka-fasadnaya-alarcon?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,должно ли выгнать доски на фасаде если они окрашены на заводе,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,Топ 1%,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.42,0.00,41.63,6.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,европлит егорбевск,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,6–10%,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,жидкий травертин купить,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели с клинкерной плиткой - КлинкерПрофи,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.98,0.00,98.38,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,жидкий травертин купить,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели с клинкерной плиткой - КлинкерПрофи,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.37,0.00,136.89,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как обшить окна снаружи в контенере,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,35-44 года,6–10%,Не определено,1916597733861553174,Архивные,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как правильно ставить откосы под панели под кирпич,Сопутствующие запросы,Запросы без упоминания брендов,-,,Термопанель Колорадо 2 (32 шт),,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанель Колорадо 2 (32 шт),Термопанели с клинкерной плиткой. Производство в Выборге. Доставка.,https://marmara-pro.ru/termo/tproduct/2229245581-979993457482-termopanel-kolorado-2-32-sht?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как правильно ставить откосы под панели под кирпич,Сопутствующие запросы,Запросы без упоминания брендов,-,,Термопанель Колорадо 3 (32 шт),,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанель Колорадо 3 (32 шт),Термопанели с клинкерной плиткой. Производство в Выборге. Доставка.,https://marmara-pro.ru/termo/tproduct/2229245581-479543594102-termopanel-kolorado-3-32-sht?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,2,-,0.00,0.83,0.00,41.63,6.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утеплить садовый домик снаружи,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,6–10%,Не определено,1916597733861553174,Активные,Комбинаторное,Термопанели для дома в Приозерске,Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.71,0.00,71.45,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утеплить садовый домик снаружи,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,6–10%,Не определено,1916597733861553174,Активные,Комбинаторное,Термопанели для дома в Приозерске,Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,23.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,клинкерный кирпич колорадо,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели с клинкерной плиткой - КлинкерПрофи,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
