Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Тип объявления,Заголовок,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,купить гибкую клинкерную плитку,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.65,0.00,64.58,6.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,купить гибкую клинкерную плитку,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,,,,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.06,0.00,6.10,19.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,купить на озоне панель,Целевые запросы,Запросы с упоминанием брендов конкурентов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.65,0.00,64.58,6.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,купить технониколь в выборге,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0.00,-,1,0.00,100.00,0.57,174.42,57.33,2.00,2.00,100.00,1.00
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,купить утеплитель для стен внутри дома в выборге,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Планшеты,Android,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.77,0.00,76.79,1.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,лужский район купить обшивку стены,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.45,0.00,44.58,8.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,материал для фасада дома,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,0.03,0.00,3.30,81.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,панели,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.12,0.00,11.50,11.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,панели karkas,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0.00,-,1,0.00,100.00,0.66,150.83,66.30,3.00,3.00,100.00,1.00
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,панель за печку,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,0.85,0.00,84.88,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,панель из натурального камня лайт кварцит черный,Альтернативные запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Клинкерные термопанели - производство Выборг,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.89,0.00,89.13,3.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,пластиковые панели для отделки фундамента дачных домов,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Гарантия до 5 лет на термопанели,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.55,0.00,54.58,7.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,производство плитки селезнево выборгский район,Альтернативные запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Бесплатная доставка по Выборгскому району,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,-,1,0.00,100.00,0.61,163.82,61.04,3.00,3.00,0.00,1.00
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,стабилизированное покрытие выборг,Широкие запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Заголовок из контента поискового сниппета или настроек объявления,,,,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,0.88,0.00,88.10,1.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,строим наш дом выборг каталог товаров в выборге,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,1915802398259215246,Комбинаторное,Бесплатная доставка по Выборгскому району,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.16,0.00,115.90,1.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,строим наш дом выборг каталог товаров в выборге,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,1915802398259215246,Комбинаторное,Бесплатная доставка по Выборгскому району,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.21,0.00,120.65,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,стройтовары волхов,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Бесплатная доставка по Выборгскому району,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.65,0.00,64.58,6.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,термосайдинг,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.36,0.00,35.97,11.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,технониколь выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,фасад дома в выборге,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Купить термопанели в Выборге напрямую,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.48,0.00,48.47,3.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,фасад дома в выборге,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.71,0.00,70.95,2.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,фасадные панели для наружной отделки,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.16,0.00,15.69,10.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,фасадные панели купить в вологде,Целевые запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.36,0.00,36.38,4.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,чем обшить дом каркасный снаружи,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Гарантия до 5 лет на термопанели,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.42,0.00,41.63,6.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,чем обшить стены на веранде в частном доме внутри недорого,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915802398259215246,Комбинаторное,Гарантия до 5 лет на термопанели,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.41,0.00,140.59,3.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1915800871397818629,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,2.00,0.00,100.00,-,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,,Широкие запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Купить термопанели в Выборге напрямую,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,безопасная отделка дома от пожара,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Гарантия до 5 лет на термопанели,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.77,0.00,76.79,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,белтермо,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1915800871397818629,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.02,0.00,102.33,1.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,вибросайден на стену,Альтернативные запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.60,0.00,59.89,3.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,водонепроницаемые керамические панели отопления для ванной,Альтернативные запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Гарантия до 5 лет на термопанели,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,1.20,0.00,120.44,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,искусственный камень для фасада,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.45,0.00,44.58,8.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,каким железом зашить стены хозблока,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.77,0.00,76.79,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,какой размер термопанели,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,1.09,0.00,54.58,7.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,какой размер термопанели,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,0.78,0.00,38.97,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,какой размер термопанели,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,Остальные,Не определено,0.00,1,0,0.00,-,1,0.00,100.00,1.10,90.73,110.21,2.00,2.00,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,керпичи,Альтернативные запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Гарантия до 5 лет на термопанели,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,18-24 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.40,0.00,40.38,2.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,кисельня стройматериалы,Широкие запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Бесплатная доставка по Выборгскому району,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,Не определен,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,клеящие панели на стену технониколь,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1915800871397818629,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.73,0.00,73.49,2.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,клинкерные панели,Широкие запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Клинкерные термопанели - производство Выборг,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.61,0.00,61.20,4.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,купить белтермо красное село,Альтернативные запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.41,0.00,40.94,3.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,купить дышащий клинкерные термопанели,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,купить термопанели для фасада дома в спб производства беларусь,Альтернативные запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Клинкерные термопанели - производство Выборг,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.77,0.00,76.84,3.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,купить фасадные панели для наружной отделки дома от производителя в спб и ленобласти,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,0.99,0.00,49.58,7.50,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,купить фасадные панели для наружной отделки дома от производителя в спб и ленобласти,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,0.33,0.00,16.46,10.50,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,купить фасадные панели для наружной отделки дома от производителя в спб и ленобласти 3д,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.65,0.00,64.58,6.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,легкие каменные панели для отделки,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.55,0.00,54.58,7.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,лемано про спб котлас фасад,Целевые запросы,Запросы с упоминанием брендов конкурентов,-,,1915800871397818629,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,,,,Поиск,Товарная галерея,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,18-24 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.03,0.00,3.30,48.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,наборный элемент термопанели,Сопутствующие запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,18-24 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,0.94,0.00,94.35,1.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,нефрит керамика клинкерная,Альтернативные запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Клинкерные термопанели - производство Выборг,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.69,0.00,68.59,3.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,отделочный материал для фасада дооки,Широкие запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,1,0,0.00,-,1,0.00,100.00,1.05,94.91,105.36,2.00,2.00,0.00,2.00
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,панели балтимор,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1915800871397818629,Комбинаторное,Термопанели с клинкером - собственный завод в Выборге,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0.00,-,1,0.00,100.00,1.04,96.61,103.51,1.00,1.00,100.00,1.00
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,панели для каркасного дома стеновые,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,0.55,0.00,54.58,7.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,панель цокольная утепленная,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,0.85,0.00,84.88,5.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,панель цокольная утепленная,Целевые запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,Производитель термопанелей в Ленобласти,,,,Поиск,Товарная галерея,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,1.24,0.00,124.49,1.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,пенополистирол кириши,Альтернативные запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,Старше 55,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,0.45,0.00,45.02,3.00,-,-,-
Термопанели в Выборге,712773255,10.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,плиты амк фасадные,Альтернативные запросы,Запросы без упоминания брендов,-,,1915800871397818629,Комбинаторное,"Термопанели в Выборге - завод на Ленина, 11",,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,1.84,0.00,92.16,1.50,-,-,-
