Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Тип объявления,Заголовок,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база раздолье сосново стройматериалов,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база раздолье сосново стройматериалов каталог,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Мобильная связь,Женский,45-54 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,1.97,0.00,98.68,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база раздолье сосново стройматериалов каталог,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Мобильная связь,Женский,45-54 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,2.42,0.00,120.98,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база строительных материалов в пос громово,Широкие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.91,0.00,91.46,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база строительных материалов в пос громово,Широкие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.37,0.00,137.31,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база строительных материалов в пос громово приозерского района ленинградской области,Широкие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.93,0.00,93.12,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база стройматериалов мельниковой в приозерском районе,Альтернативные запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Планшеты,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,баутекс,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Фасадные термопанели с клинкером,,,,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,0.91,0.00,91.05,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,баутекс,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Фасадные термопанели с клинкером,,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,белорусский утеплитель,Альтернативные запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Термопанели для дома в Приозерске,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Мобильная связь,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,2,-,0.00,2.02,0.00,101.00,1.00,-,-,-
